[INFO] 2025-12-03 12:00:40,063 Запуск задачи dollar_to_byn
[INFO] 2025-12-03 12:00:40,063 >>> задача выполнена
[INFO] 2025-12-03 12:00:40,164 Курс: 2.8997
[INFO] 2025-12-03 12:01:25,738 Запрос пришёл: /
[INFO] 2025-12-03 12:01:25,835 Ответ готов: 200
[INFO] 2025-12-03 12:01:25,835 время обработки запроса = 0.09703588485717773
[INFO] 2025-12-03 12:01:29,450 Запрос пришёл: /product/4/
[INFO] 2025-12-03 12:01:29,574 Ответ готов: 200
[INFO] 2025-12-03 12:01:29,574 время обработки запроса = 0.12458658218383789
[INFO] 2025-12-03 12:01:40,059 >>> задача выполнена
[INFO] 2025-12-03 12:01:40,059 Запуск задачи dollar_to_byn
[INFO] 2025-12-03 12:01:40,187 Курс: 2.8997
[INFO] 2025-12-03 12:03:39,537 Запрос пришёл: /
[INFO] 2025-12-03 12:03:39,539 Ответ готов: 200
[INFO] 2025-12-03 12:03:39,539 время обработки запроса = 0.0021369457244873047
[INFO] 2025-12-03 12:09:28,075 Запрос пришёл: /
[INFO] 2025-12-03 12:09:28,165 Ответ готов: 200
[INFO] 2025-12-03 12:09:28,165 время обработки запроса = 0.0903012752532959
[INFO] 2025-12-03 12:09:31,371 Запрос пришёл: /
[INFO] 2025-12-03 12:09:31,374 Ответ готов: 200
[INFO] 2025-12-03 12:09:31,374 время обработки запроса = 0.003052949905395508
[INFO] 2025-12-03 12:09:35,907 Запрос пришёл: /product/4/
[INFO] 2025-12-03 12:09:35,969 Ответ готов: 200
[INFO] 2025-12-03 12:09:35,969 время обработки запроса = 0.06217646598815918
[INFO] 2025-12-03 12:09:38,813 Запрос пришёл: /product/4/
[INFO] 2025-12-03 12:09:38,836 Ответ готов: 200
[INFO] 2025-12-03 12:09:38,836 время обработки запроса = 0.023378610610961914
[INFO] 2025-12-03 12:10:03,648 Запрос пришёл: /admin/
[INFO] 2025-12-03 12:10:03,713 Ответ готов: 200
[INFO] 2025-12-03 12:10:03,713 время обработки запроса = 0.06461882591247559
[INFO] 2025-12-03 12:10:08,059 Запрос пришёл: /admin/myapp/product/add/
[INFO] 2025-12-03 12:10:08,172 Ответ готов: 200
[INFO] 2025-12-03 12:10:08,173 время обработки запроса = 0.11366128921508789
[INFO] 2025-12-03 12:10:08,256 Запрос пришёл: /admin/jsi18n/
[INFO] 2025-12-03 12:10:08,319 Ответ готов: 200
[INFO] 2025-12-03 12:10:08,319 время обработки запроса = 0.0630042552947998
[INFO] 2025-12-03 12:10:13,073 Запрос пришёл: /admin/myapp/product/add/
